La	57	26.4	0.2347
Ce	58	68.5	0.6032
Nd	60	65.0	0.4524
Sm	62	21.2	0.1471
Eu	63	2.01	0.0560
Gd	64	24.0	0.1966
Tb	65	4.5	0.0363
Dy	66	30.5	0.2427
Ho	67	5.6	0.0556
Er	68	15.8	0.1589
Yb	70	17.5	0.1625
Lu	71	2.45	0.0243
