La	57	26.4	0.2347    0.133
Ce	58	68.5	0.6032    0.33
Nd	60	65.0	0.4524    0.175
Sm	62	21.2	0.1471    0.054
Eu	63	2.01	0.0560    0.805
Gd	64	24.0	0.1966    0.062
Tb	65	4.5	0.0363    0.007
Dy	66	30.5	0.2427    0.044
Er	68	15.8	0.1589    0.019
Yb	70	17.5	0.1625    0.028
Lu	71	2.45	0.0243    0.0061
